단어	単語	単語（修正）	重要度	重要度の理由
성장	成長	成長	3	
비전	ビジョン	ビジョン	1	
목표	目標	目標	1	
이상	理想	理想	2	
삶	生き方	生き方	1	
다양성	多様性	多様	3	
인생	人生	人生	1	
우주	宇宙	宇宙	1	
긍정	肯定	肯定	2	
희망	希望	希望	2	
감동	感動	感動	3	
가치관	価値観	価値	1	
미래	未来	未来	2	
육성	育成	育成	1	
도움	助け	助け	1	
기회	機会	機会	1	
공평	公平	公平	2	
객관	客観	客観	1	
데이터	データ	データ	1	
이성	理性	理性	2	
고난	苦難	苦難	1	「問題」とかぶる
시련	試練	試練	1	「問題」とかぶる
불화	不和	不和	1	
극복	克服	克服	3	全ての試練は克服できるよ
인내	忍耐	忍耐	2	慌てないで
웃음	笑い	笑い	1	
아이	子供	子供	1	
협력	協力	協力	2	力を合わせて問題解決するだけでなく、人付き合いにおけるレジリエンスを養う
해결	解決	解決	1	
문제	問題	問題	2	問題は成長の種
시스템	システム	システム	1	
규율	ルール	ルール	1	
돌연변이	突然変異	突然変異	2	変わった考えが生み出すイノベーション
안정	安定	安定	1	
온화	穏やか	穏やか	2	近寄りやすい雰囲気は人間関係でとても有利
대화	対話	対話	1	
상상	想像	想像	1	
취향	好み	好み	3	様々な価値は好みに根付いている
현실	現実	現実	1	
성취감	達成感	達成	1	
꾸준	こつこつ	こつこつ	1	
준비성	用心深い	用心深い	2	リスクを好む者なら準備・計画が必須
계획	計画	計画	1	
인정	認める	認める	1	「包容」とかぶる
포용	包容	包容	3	いろんな考え方、または別に考えを持たない人がいるんだ
솔선	率先	率先	2	
모험	冒険	冒険	1	「リスク」とかぶる
관리	管理	管理	1	
도전	挑戦	挑戦	3	留学、キャリアを通してチャレンジが好き
리스크	リスク	リスク	2	成長のためならリスクを厭わない
기반	基盤	基盤	1	
꿈	夢	夢	3	（無意識でも）夢に近づきたい気持ちが物事の駆動力である。
안심	安心	安心	1	
기쁨	喜び	喜び	1	
방안	方策	方策	1	
상담	相談	相談	1	
신념	信念	信念	1	
자애	慈愛	慈愛	1	
동료	仲間	仲間	2	世の中、力を合わせてこそできることが多い
거울	鏡	鏡	2	相手には自分に対するような行動を取れ
사명	使命	使命	1	
책임	責任	責任	2	
운	運	運	1	
역할	役割	役割	1	
조화	調和	調和	1	
창성	創生	創造	2	新しい価値を生み出そう！
돌파	突破	突破	1	
공감	共感	共感	1	
깨달음	気づき	気づき	1	
영향	影響	影響	1	
보물	宝物	宝物	1	
자기실현	自己実現	自我	1	
의논	議論	議論	1	
공유	共有	共有	1	
장애	障害	障害	1	
전문가	専門家	専門	2	「あの人に聞けばわかる」の強みを持とう
부감	俯瞰	俯瞰	1	
서포트	サポート	サポート	1	
연구	研究	研究	1	
시행착오	試行錯誤	試行錯誤	1	
가설	仮設	仮設	1	
공생	共生	共生	1	
이벤트	イベント	イベント	1	
콜라보	コラボ	コラボ	1	
아이디어	アイデア	アイデア	1	
상승효과	相乗効果	シナジー	1	
적응력	適応力	適応	1	
지휘	指揮	指揮	1	
효율	効率	効率	1	
소통	コミュニケーション	コミュニケーション	1	
케어	ケア	ケア	1	
항상성	恒常性	レジリエンス	2	挫けそうでも、立ち直れる。
라이프사이클	ライフサイクル	ライフサイクル	1	
자학자습	自学自習	自学自習	1	
지속가능성	持続可能性	サステナブル	3	キャリア・ビジネス・人生など、長いスパンで物事を見よう
서비스	サービス	サービス	1	
배려	配慮	配慮	1	
일관성	一貫性	一貫	1	
확장	拡張	拡張	1	
내강외유	外柔内剛	外柔内剛	3	成長を追い求める者の望ましい方向性
반성	反省	反省	1	
